,ti,ni,cu,fe,pd,co,mn,cr,nb,zr,hf,hp,
1,50,10,0,7,33,0,0,0,0,0,0,92.57488,TY
2,50,41.05,1.95,0,7,0,0,0,0,0,0,19.5556,TY
3,50,40,0,0,10,0,0,0,0,0,0,5.77439,TY
4,50,34,0,0,16,0,0,0,0,0,0,58.18,TY
5,50,30,0,0,20,0,0,0,0,0,0,130.5351,TY
6,50,25,0,0,25,0,0,0,0,0,0,182.9042,TY
7,50,49,0,0.2,0.8,0,0,0,0,0,0,85.35755,TY
8,50,27.8,0,0.6,21.6,0,0,0,0,0,0,115.0575,TY
9,50,48.6,0,0.8,0.6,0,0,0,0,0,0,42.8631,TY
10,50,28.2,0,0.8,21,0,0,0,0,0,0,111.4006,TY
11,50,48.6,0,0.9,0.5,0,0,0,0,0,0,59.00743,TY
12,50,48.7,0,1.3,0,0,0,0,0,0,0,37.73845,TY
13,50,48.3,0,1.6,0.1,0,0,0,0,0,0,29.4288,TY
14,50,46,0,4,0,0,0,0,0,0,0,-30.04836,TY
15,50,45.8,0,4.2,0,0,0,0,0,0,0,-38.82679,TY
16,50,45.7,0,4.3,0,0,0,0,0,0,0,-42.17236,TY
17,50,30,0.1,0,19.9,0,0,0,0,0,0,128.1428,TY
18,50,29.8,0.1,0.1,20,0,0,0,0,0,0,113.1676,TY
19,50,48.1,0.2,1.5,0.2,0,0,0,0,0,0,28.81456,TY
20,50,48.2,0.6,0.9,0.3,0,0,0,0,0,0,47.19464,TY
21,50,46.7,0.8,2.3,0.2,0,0,0,0,0,0,8.6206,TY
22,50,46.8,0.9,2,0.3,0,0,0,0,0,0,16.79619,TY
23,50,44,1,1,4,0,0,0,0,0,0,-34.13262,TY
24,50,25.8,1,2,21.2,0,0,0,0,0,0,71.65775,TY
25,50,45.2,1,3.8,0,0,0,0,0,0,0,-25.4433,TY
26,50,46.5,1.1,2.2,0.2,0,0,0,0,0,0,10.64278,TY
27,50,46,1.1,2.8,0.1,0,0,0,0,0,0,-12.22048,TY
28,50,36.8,1.2,0,12,0,0,0,0,0,0,49.205,TY
29,50,46.1,1.2,2.7,0,0,0,0,0,0,0,-1.306821,TY
30,50,45.7,1.2,3,0.1,0,0,0,0,0,0,-9.08337,TY
31,50,45.1,1.4,3.5,0,0,0,0,0,0,0,-25.31235,TY
32,50,38.5,1.5,0,10,0,0,0,0,0,0,38.1703,TY
33,50,44.5,1.5,3,1,0,0,0,0,0,0,-50.14413,TY
34,50,43.9,1.5,4.6,0,0,0,0,0,0,0,-44.91348,TY
35,50,44.5,1.6,3.7,0.2,0,0,0,0,0,0,-28.86574,TY
36,50,44.5,1.7,3.7,0.1,0,0,0,0,0,0,-28.03577,TY
37,50,40.2,1.8,0,8,0,0,0,0,0,0,15.9586,TY
38,50,44.6,1.9,3.4,0.1,0,0,0,0,0,0,-23.07873,TY
39,50,44.5,1.9,3.4,0.2,0,0,0,0,0,0,-30.04836,TY
40,50,44.2,1.9,3.8,0.1,0,0,0,0,0,0,-29.68668,TY
41,50,44.2,1.9,3.9,0,0,0,0,0,0,0,-31.29156,TY
42,50,44.4,2,3.6,0,0,0,0,0,0,0,-39.3621,TY
43,50,44,2,4,0,0,0,0,0,0,0,-53.32988,TY
44,50,43.9,2,4,0.1,0,0,0,0,0,0,-41.48197,TY
45,50,43.8,2,4.1,0.1,0,0,0,0,0,0,-42.22766,TY
46,50,43.5,2,4.5,0,0,0,0,0,0,0,-46.68162,TY
47,50,41.9,2.1,0,6,0,0,0,0,0,0,21.3541,TY
48,50,44.5,2.1,3.4,0,0,0,0,0,0,0,-25.10928,TY
49,50,43.9,2.1,4,0,0,0,0,0,0,0,-40.33804,TY
50,50,44,2.3,3.6,0.1,0,0,0,0,0,0,-32.0457,TY
51,50,44,2.3,3.7,0,0,0,0,0,0,0,-39.3621,TY
52,50,43.6,2.4,0,4,0,0,0,0,0,0,42.1497,TY
53,50,43.8,2.6,3.6,0,0,0,0,0,0,0,-33.57283,TY
54,50,28.1,2.9,0,19,0,0,0,0,0,0,105.0575,TY
55,50,43.6,3,3.4,0,0,0,0,0,0,0,-31.2749,TY
56,50,42.8,3.6,2.8,0.8,0,0,0,0,0,0,-39.04657,TY
57,50,42.8,4,3.2,0,0,0,0,0,0,0,-41.5943,TY
58,50,40.4,4.6,1,4,0,0,0,0,0,0,-3.32541,TY
59,50,42,5,3,0,0,0,0,0,0,0,-46.5943,TY
60,50,41.2,6,2.8,0,0,0,0,0,0,0,-53.5024,TY
61,50,39.6,8,2.4,0,0,0,0,0,0,0,-15.3034,TY
62,50,34,10,0,6,0,0,0,0,0,0,30.2,TY
63,50,38,10,2,0,0,0,0,0,0,0,0.67688,TY
64,50,35,12,0,3,0,0,0,0,0,0,47.69654,TY
65,50,34,12,0,4,0,0,0,0,0,0,37.6,TY
66,50,36.4,12,1.6,0,0,0,0,0,0,0,13.2358,TY
67,50,34,13,0,3,0,0,0,0,0,0,25.9,TY
68,50,34,14,0,2,0,0,0,0,0,0,45.65,TY
69,50,34.8,14,1.2,0,0,0,0,0,0,0,-1.58963,TY
70,50,26.6,3.7,0,19.7,0,0,0,0,0,0,105.9063,TY
71,50,25,0,1.3,23.7,0,0,0,0,0,0,99.25151,TY
72,50,26.4,0.5,0,23.1,0,0,0,0,0,0,142.8326,TY
73,50,25,0,2.1,22.9,0,0,0,0,0,0,79.23054,TY
74,50,0,0,0,45.8,0,0,4.2,0,0,0,336.46,TY
75,50,0,0,0,45.7,0,0,4.3,0,0,0,327.78,TY
76,50,0,0,0,45.6,0,0,4.4,0,0,0,320.9908,TY
77,50,0,0,0,45.5,0,0,4.5,0,0,0,315.5774,TY
78,50,0,0,0,45.45,0,0,4.55,0,0,0,308.16,TY
79,50,0,0,0,45.4,0,0,4.6,0,0,0,303.9906,TY
80,50,0,0,0,45.3,0,0,4.7,0,0,0,295.8799,TY
81,50,0,0,0,45.2,0,0,4.8,0,0,0,293.65,TY
82,50,0,0,0,45,0,0,5,0,0,0,281.9716,TY
83,49.15,50.85,0,0,0,0,0,0,0,0,0,-2.177,TY
84,49.4,50.6,0,0,0,0,0,0,0,0,0,42.81,TY
85,49.8,50.2,0,0,0,0,0,0,0,0,0,78.539001,TY
86,49.6,50.4,0,0,0,0,0,0,0,0,0,54.714001,TY
87,49.55,50.45,0,0,0,0,0,0,0,0,0,50.47,TY
88,50,49,0,0,0,0,0,1,0,0,0,28.8,TY
89,50,47,0,0,0,0,0,3,0,0,0,-47,TY
90,50,48,0,0,0,2,0,0,0,0,0,11.47399,TY
91,50,48,0,0,0,0,2,0,0,0,0,9.9,TY
92,50,47,0,0,0,0,3,0,0,0,0,-6.5,TY
93,50,46,0,0,0,4,0,0,0,0,0,-16.50293,TY
94,50,46,0,0,0,0,4,0,0,0,0,-53.5,TY
95,50,44,0,0,0,6,0,0,0,0,0,-56.02996,TY
96,50,0,0,0,46,0,0,4,0,0,0,356.443,TY
97,50,0,0,0,44,0,0,6,0,0,0,227.568,TY
98,50,0,0,0,43,0,0,7,0,0,0,177.464,TY
99,50,0,0,0,42,0,0,8,0,0,0,107.012,TY
100,49,50.49,0,0.045,0.165,0,0,0,0.3,0,0,7.95,TY
101,49,45.9,0,0.45,1.65,0,0,0,3,0,0,22.79,TY
102,48.5,43.775,0,0,2.55,0,0,1.125,4.05,0,0,-102.78,TY
103,48.5,44.805,0,0,2.21,0,0,0.975,3.51,0,0,-69.22,TY
104,48.5,49.955,0,0,0.51,0,0,0.225,0.81,0,0,-17.58,TY
105,48.5,45.835,0,0,1.87,0,0,0.825,2.97,0,0,-27.15,TY
106,48.5,47.38,0,0,1.36,0,0,0.6,2.16,0,0,-3.41,TY
107,48.5,48.1525,0,0,1.105,0,0,0.4875,1.755,0,0,19.17,TY
108,48.5,48.925,0,0,0.85,0,0,0.375,1.35,0,0,19.02,TY
109,50,50,0,0,0,0,0,0,0,0,0,95,TY
110,50,48,0,0,0,0,0,2,0,0,0,-7.8,TY
111,50,35,15,0,0,0,0,0,0,0,0,53.68559,TY
112,50,30,20,0,0,0,0,0,0,0,0,55.09081,TY
113,35,47,3,0,0,0,0,0,0,0,15,190,TY
114,42.42,49,0,0,0,0,0,0,0,0,8.58,155.09921,TY
115,40.56,49,0,0,0,0,0,0,0,0,10.44,172.84468,TY
116,39.58,49,0,0,0,0,0,0,0,0,11.42,187.13445,TY
117,31,49,0,0,0,0,0,0,0,0,20,339.74547,TY
118,36,49,0,0,0,0,0,0,0,0,15,230.46421,TY
119,36,44,5,0,0,0,0,0,0,0,15,225.594,TY
120,36,46,3,0,0,0,0,0,0,0,15,201.65308,TY
121,50,37.5,12.5,0,0,0,0,0,0,0,0,48.69464,TY
122,48.7,51.3,0,0,0,0,0,0,0,0,0,-48.86,TY
123,49.2,50.8,0,0,0,0,0,0,0,0,0,25.42,TY
124,49.3,50.7,0,0,0,0,0,0,0,0,0,35.38,TY
125,49,49,0,0,0,0,0,0,2,0,0,68.62,87
126,48,48,0,0,0,0,0,0,4,0,0,65.13,87
127,47,47,0,0,0,0,0,0,6,0,0,62.23,87
128,45.5,45.5,0,0,0,0,0,0,9,0,0,58.42,87
129,48.4908,49.5092,0,0,0,0,0,0,2,0,0,65.03,87
130,47.5013,48.4987,0,0,0,0,0,0,4,0,0,57.25,87
131,46.5116,47.4884,0,0,0,0,0,0,6,0,0,61.79,87
132,45.0272,45.9728,0,0,0,0,0,0,9,0,0,37.18,87
133,47.9804,50.0196,0,0,0,0,0,0,2,0,0,26.89,87
134,47.0012,48.9988,0,0,0,0,0,0,4,0,0,48.43,87
135,46.022,47.978,0,0,0,0,0,0,6,0,0,39.95,87
136,44.5532,46.4468,0,0,0,0,0,0,9,0,0,21.67,87
137,47.4691,50.5309,0,0,0,0,0,0,2,0,0,-44.53,87
138,46.5004,49.4996,0,0,0,0,0,0,4,0,0,21.875,87
139,45.5316,48.4684,0,0,0,0,0,0,6,0,0,20.57,87
140,44.0785,46.9215,0,0,0,0,0,0,9,0,0,-1.56,87
141,46.0012,49.9988,0,0,0,0,0,0,4,0,0,-23.71,87
142,45.0429,48.9571,0,0,0,0,0,0,6,0,0,5.93,87
143,43.6053,47.3947,0,0,0,0,0,0,9,0,0,-28.22,87
144,45,50,0,0,0,0,0,0,0,5,0,63.8,pang
145,35,50,0,0,0,0,0,0,0,15,0,107.8,pang
146,44.7,50.3,0,0,0,0,0,0,0,5,0,40.6,pang
147,45.5,49.5,0,0,0,0,0,0,0,5,0,114.11,96
148,40.5,49.5,0,0,0,0,0,0,0,10,0,142.35,96
149,35.5,49.5,0,0,0,0,0,0,0,15,0,208.24,96
150,30.5,49.5,0,0,0,0,0,0,0,20,0,294.12,96
151,32.5,50,0,0,0,0,0,0,0,0,17.5,177.7,licheng
152,34.7,50.3,0,0,0,0,0,0,0,0,15,77.34,13
153,29.7,50.3,0,0,0,0,0,0,0,0,20,141.12,15
154,49.2,40.8,10,0,0,0,0,0,0,0,0,-3.6,19
155,29.7,50.3,0,0,0,0,0,0,0,20,0,72.21,15
156,50.5,48.5,0,0,0,1,0,0,0,0,0,84.7,283
157,50.5,47.5,0,0,0,2,0,0,0,0,0,62.4,283
158,49.2,49.8,0,0,0,1,0,0,0,0,0,-29.5,283
159,49.2,48.8,0,0,0,2,0,0,0,0,0,-40,283
160,50.5,45.5,0,0,0,4,0,0,0,0,0,37.8,283
161,49.2,44.8,6,0,0,0,0,0,0,0,0,-21.8,283
162,48.4,51.1,0,0,0,0,0,0.5,0,0,0,-10.91,99
163,50.24,49.31,0,0,0,0,0,0.45,0,0,0,42.39,100
164,50.34,48.17,0,0,0,0,0,1.49,0,0,0,-15.05,100
165,49.7,48.02,0,0,0,0,0,2.28,0,0,0,-59.09,100
166,51.8,45,0,3.2,0,0,0,0,0,0,0,-10.04,101
167,50,48,0,2,0,0,0,0,0,0,0,7.44,102
168,49.5,48.5,0,2,0,0,0,0,0,0,0,-41.93,102
169,51,49,0,0,0,0,0,0,0,0,0,113,103
170,50.5,49.5,0,0,0,0,0,0,0,0,0,105.86,104
171,50.5,24.5,0,0,25,0,0,0,0,0,0,186.15,105
172,50.3,24.7,0,0,25,0,0,0,0,0,0,196.09,106
173,49.7,25.3,0,0,25,0,0,0,0,0,0,126.13,106
174,50.3,33.7,0,0,16,0,0,0,0,0,0,106.05,107
175,30.875,47.5,0,0,0,0,0,0,5,0,16.625,255.6,licheng
176,29.9,46,0,0,0,0,0,0,8,0,16.1,243.2,licheng
177,29.25,45,0,0,0,0,0,0,10,0,15.75,254.4,licheng
178,27.625,42.5,0,0,0,0,0,0,15,0,14.875,205.1,licheng
179,26,40,0,0,0,0,0,0,20,0,14,210.4,licheng
180,24.375,37.5,0,0,0,0,0,0,25,0,13.125,197.5,licheng
181,49,43.35,0,0.675,2.475,0,0,0,4.5,0,0,-5.38,TY
182,49,44.88,0,0.54,1.98,0,0,0,3.6,0,0,13.25,TY
183,45.24,49,0,0,0,0,0,0,0,0,5.76,133.99145,TY
184,50,49,0,0.4,0.6,0,0,0,0,0,0,76.52066,TY
185,48.5,50.985,0,0,0.17,0,0,0.075,0.27,0,0,-65.75,TY
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
87,"Fan, Q. C., Y. Zhang, Y. H. Zhang, Y. Y. Wang, E. H. Yan, S. K. Huang and Y. H. Wen (2019). ""Influence of Ni/Ti ratio and Nb addition on martensite transformation behavior of NiTiNb alloys."" Journal of Alloys and Compounds 790: 1167-1176.
",,,,,,,,,,,,
96,"Hsieh, S. F. and S. K. Wu (1998). ""A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys."" Materials Characterization 41(4): 151-162.
",,,,,,,,,,,,
13,"Evirgen, A., I. Karaman, R. Santamarta, J. Pons and R. D. Noebe (2015). ""Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy."" Acta Materialia 83: 48-60.
",,,,,,,,,,,,
15,"Evirgen, A., I. Karaman, R. Santamarta, J. Pons, C. Hayrettin and R. D. Noebe (2016). ""Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys."" Acta Materialia 121: 374-383.
",,,,,,,,,,,,
19,"Dang, P., F. Ye, Y. Zhou, L. Ding, J. Pang, L. Zhang, X. Ding, J. Sun, S. Dai, T. Lookman and D. Xue (2022). ""Low-fatigue and large room-temperature elastocaloric effect in a bulk Ti49.2Ni40.8Cu10 alloy."" Acta Materialia 229.
",,,,,,,,,,,,
283,"Dang, P., L. Zhang, Y. Zhou, C. Li, X. Ding, J. Sun and D. Xue (2023). ""Nanostructured Ti¨CNi¨CCo Alloys Showing Shape-Memory Actuation of Large Work Output at Low Temperature."" Advanced Engineering Materials n/a(n/a): 2301438.
",,,,,,,,,,,,
99,"Tong, Y.-x., J.-t. Liu, F. Chen, C.-q. Liang, B. Tian, L. Li and Y.-f. Zheng (2014). ""Effect of aging on martensitic transformation and superelasticity of TiNiCr shape memory alloy."" Transactions of Nonferrous Metals Society of China 24(8): 2598-2605.
",,,,,,,,,,,,
100,"Chen, Z., C. Gan, J. Qian and D. Nong (2021). ""Effect of Cr Content on Phase Transition Characteristics and Microhardness of Near Equiatomic NiTi SMA."" Chinese Journal of Rare Metals 45(9): 1034-1043.
",,,,,,,,,,,,
101,"Zhang, Y.-q., S.-y. Jiang, X.-m. Zhu, Y.-n. Zhao, Y.-l. Liang and D. Sun (2017). ""Influence of Fe addition on phase transformation behavior of NiTi shape memory alloy."" Transactions of Nonferrous Metals Society of China 27(7): 1580-1587.
",,,,,,,,,,,,
102,"Tu, C.-H., S.-K. Wu, C. Lin and B.-Y. Huang (2021). ""A study on two R-phase transformations in intermediate temperature aged Ni-rich TiNiFe-based shape memory alloys."" Intermetallics 132: 107123.
",,,,,,,,,,,,
103,"Lin, H. C., S. K. Wu and J. C. Lin (1994). ""THE MARTENSITIC-TRANSFORMATION IN TI-RICH TINI SHAPE-MEMORY ALLOYS."" MATERIALS CHEMISTRY AND PHYSICS 37(2): 184-190.
",,,,,,,,,,,,
104,"Kim, Y.-w. and D. Do (2016). ""Shape memory characteristics of highly porous Ti-rich TiNi alloys."" Materials Letters 162: 1-4.
",,,,,,,,,,,,
105,"Atli, K. C., I. Karaman and R. D. Noebe (2014). ""Influence of tantalum additions on the microstructure and shape memory response of Ti50.5Ni24.5Pd25 high-temperature shape memory alloy."" Materials Science and Engineering: A 613: 250-258.
",,,,,,,,,,,,
106,"Ramaiah, K. V., C. N. Saikrishna, Gouthama and S. K. Bhaumik (2013). ""Microstructure and transformation behaviour of Ni75?XTiXPd25 high temperature shape memory alloys."" Journal of Alloys and Compounds 554: 319-326.
",,,,,,,,,,,,
107,"Kockar, B., K. C. Atli, J. Ma, M. Haouaoui, I. Karaman, M. Nagasako and R. Kainuma (2010). ""Role of severe plastic deformation on the cyclic reversibility of a Ti50.3Ni33.7Pd16 high temperature shape memory alloy."" Acta Materialia 58(19): 6411-6420.
",,,,,,,,,,,,
